Date,C_Temperature,Kph_Wind,C_Dew,Hg_Pressure,mm_Precipitation,Result
1/1/2020,24,15,19,29.97,0,Sunny
1/2/2020,25,14,21,30,8.9,Rainy
1/3/2020,26,10,21,29.94,0.9,Rainy
1/4/2020,26,8,22,29.88,5.2,Rainy
1/5/2020,26,7,22,29.91,6.3,Rainy
1/6/2020,25,13,21,29.97,3.7,Rainy
1/7/2020,25,11,20,29.97,0.6,Rainy
1/8/2020,25,9,19,29.94,0,Sunny
1/9/2020,25,8,19,29.91,0,Sunny
1/10/2020,25,6,19,29.94,0,Sunny
1/11/2020,26,5,20,29.97,1.2,Rainy
1/12/2020,26,6,20,29.94,0.6,Rainy
1/13/2020,26,5,19,29.91,0,Sunny
1/14/2020,25,7,19,29.91,0,Sunny
1/15/2020,25,8,19,29.91,0,Sunny
1/16/2020,23,9,18,29.91,0,Sunny
1/17/2020,24,9,19,29.94,0,Sunny
1/18/2020,25,10,19,29.94,0.1,Sunny
1/19/2020,25,8,19,29.94,0,Sunny
1/20/2020,26,8,19,29.94,0.1,Sunny
1/21/2020,26,9,19,30,0,Sunny
1/22/2020,26,9,20,30,0,Sunny
1/23/2020,27,6,20,29.97,0,Sunny
1/24/2020,28,5,20,29.94,0,Sunny
1/25/2020,27,6,19,29.91,0,Sunny
1/26/2020,28,5,20,29.88,0,Sunny
1/27/2020,26,9,21,29.85,0,Sunny
1/28/2020,26,13,21,29.88,0.1,Sunny
1/29/2020,27,12,20,29.91,0,Sunny
1/30/2020,27,8,20,29.88,0,Sunny
1/31/2020,27,9,19,29.85,0,Sunny
2/1/2020,26,11,20,29.91,0.2,Rainy
2/2/2020,27,11,19,29.97,0,Sunny
2/3/2020,27,8,20,29.97,0,Sunny
2/4/2020,27,11,20,29.94,0.3,Rainy
2/5/2020,26,11,19,29.91,0.2,Rainy
2/6/2020,27,12,19,29.91,0,Sunny
2/7/2020,27,15,20,29.91,0.1,Sunny
2/8/2020,26,13,19,29.94,0.2,Rainy
2/9/2020,26,9,19,30,1.2,Rainy
2/10/2020,24,12,20,30,2.8,Rainy
2/11/2020,26,12,19,30,0.1,Sunny
2/12/2020,27,8,19,30,0,Sunny
2/13/2020,29,4,19,29.97,0,Sunny
2/14/2020,30,4,19,29.91,0,Sunny
2/15/2020,31,6,19,29.88,0,Sunny
2/16/2020,29,9,19,29.91,0,Sunny
2/17/2020,29,8,18,29.94,0,Sunny
2/18/2020,29,7,19,29.94,0,Sunny
2/19/2020,28,10,19,29.94,0,Sunny
2/20/2020,28,11,18,29.94,0,Sunny
2/21/2020,28,11,17,30,0,Sunny
2/22/2020,28,10,17,30,0,Sunny
2/23/2020,28,10,18,29.97,0,Sunny
2/24/2020,29,13,19,29.91,0,Sunny
2/25/2020,29,14,19,29.85,0.1,Sunny
2/26/2020,29,10,20,29.88,0.3,Rainy
2/27/2020,29,10,20,29.88,0,Sunny
2/28/2020,29,12,20,29.85,0,Sunny
2/29/2020,29,13,17,29.85,0,Sunny
3/1/2020,30,11,18,29.88,0,Sunny
3/2/2020,30,9,19,29.85,0,Sunny
3/3/2020,30,12,19,29.85,0,Sunny
3/4/2020,30,12,18,29.83,0,Sunny
3/5/2020,30,15,19,29.8,0,Sunny
3/6/2020,29,17,21,29.83,4.1,Rainy
3/7/2020,29,16,21,29.85,1.6,Rainy
3/8/2020,30,12,20,29.88,0,Sunny
3/9/2020,30,11,20,29.83,0,Sunny
3/10/2020,31,14,20,29.85,0,Sunny
3/11/2020,31,15,20,29.85,0,Sunny
3/12/2020,31,13,21,29.88,0.1,Sunny
3/13/2020,31,14,20,29.88,0,Sunny
3/14/2020,31,14,19,29.85,0,Sunny
3/15/2020,31,14,19,29.88,0,Sunny
3/16/2020,31,13,20,29.88,0,Sunny
3/17/2020,32,13,20,29.91,0,Sunny
3/18/2020,32,13,20,29.88,0,Sunny
3/19/2020,33,10,19,29.83,0,Sunny
3/20/2020,32,15,19,29.85,0,Sunny
3/21/2020,33,16,19,29.83,0,Sunny
3/22/2020,32,15,20,29.85,0,Sunny
3/23/2020,32,14,20,29.83,0,Sunny
3/24/2020,32,13,20,29.8,0,Sunny
3/25/2020,33,13,20,29.8,0,Sunny
3/26/2020,33,12,20,29.83,0,Sunny
3/27/2020,33,12,20,29.85,0,Sunny
3/28/2020,34,9,20,29.83,0,Sunny
3/29/2020,34,13,20,29.8,0,Sunny
3/30/2020,34,12,20,29.83,0,Sunny
3/31/2020,35,9,20,29.83,0,Sunny
4/1/2020,34,12,20,29.8,0,Sunny
4/2/2020,35,14,20,29.77,0,Sunny
4/3/2020,34,14,20,29.8,0,Sunny
4/4/2020,34,14,20,29.83,0,Sunny
4/5/2020,34,14,20,29.85,0,Sunny
4/6/2020,34,13,20,29.83,0,Sunny
4/7/2020,35,14,21,29.77,0,Sunny
4/8/2020,34,12,20,29.8,0.4,Rainy
4/9/2020,34,13,21,29.8,1,Rainy
4/10/2020,34,13,19,29.83,2.5,Rainy
4/11/2020,34,12,20,29.85,0.1,Sunny
4/12/2020,35,13,20,29.83,0,Sunny
4/13/2020,35,12,19,29.8,0,Sunny
4/14/2020,35,14,19,29.8,0,Sunny
4/15/2020,34,15,19,29.83,0,Sunny
4/16/2020,35,14,19,29.8,0,Sunny
4/17/2020,35,14,21,29.77,0,Sunny
4/18/2020,35,15,21,29.8,0,Sunny
4/19/2020,34,13,22,29.77,1.1,Rainy
4/20/2020,34,14,22,29.8,0.1,Sunny
4/21/2020,34,15,20,29.8,0,Sunny
4/22/2020,36,16,20,29.74,0,Sunny
4/23/2020,35,15,21,29.74,0,Sunny
4/24/2020,36,18,21,29.74,0.2,Rainy
4/25/2020,36,19,23,29.71,0,Sunny
4/26/2020,35,21,23,29.77,0,Sunny
4/27/2020,33,15,24,29.8,0,Sunny
4/28/2020,34,15,22,29.8,0.1,Sunny
4/29/2020,34,14,22,29.8,0,Sunny
4/30/2020,34,14,23,29.8,0,Sunny
5/1/2020,36,13,22,29.74,0,Sunny
5/2/2020,37,14,22,29.71,0,Sunny
5/3/2020,35,18,22,29.71,0,Sunny
5/4/2020,36,17,21,29.74,0,Sunny
5/5/2020,35,17,21,29.74,0,Sunny
5/6/2020,36,17,21,29.71,0,Sunny
5/7/2020,36,17,21,29.74,0,Sunny
5/8/2020,36,16,21,29.74,0,Sunny
5/9/2020,37,14,20,29.71,0,Sunny
5/10/2020,37,15,20,29.74,0.3,Rainy
5/11/2020,36,14,20,29.77,0,Sunny
5/12/2020,36,14,21,29.74,0,Sunny
5/13/2020,36,14,22,29.71,0,Sunny
5/14/2020,36,14,21,29.71,0,Sunny
5/15/2020,37,10,22,29.65,0,Sunny
5/16/2020,39,9,21,29.59,0,Sunny
5/17/2020,41,11,20,29.53,0,Sunny
5/18/2020,38,12,21,29.5,0,Sunny
5/19/2020,40,14,18,29.41,0,Sunny
5/20/2020,41,12,14,29.44,0,Sunny
5/21/2020,42,15,11,29.53,0,Sunny
5/22/2020,43,13,14,29.56,0,Sunny
5/23/2020,40,13,22,29.62,0,Sunny
5/24/2020,38,15,23,29.65,0,Sunny
5/25/2020,37,18,24,29.68,0,Sunny
5/26/2020,38,15,22,29.68,0,Sunny
5/27/2020,37,18,22,29.68,0,Sunny
