temperatureC,humidityGM,pressureHG,result
24,85.86956522,29.97,Sunny
25,77.22222222,30,Rainy
26,81.88888889,29.94,Rainy
26,70.05,29.88,Rainy
26,74.94444444,29.91,Rainy
25,79.31818182,29.97,Rainy
25,95.83333333,29.97,Rainy
25,83.52631579,29.94,Sunny
25,80.80952381,29.91,Sunny
25,71.94444444,29.94,Sunny
26,72.11111111,29.97,Rainy
26,74.57894737,29.94,Rainy
26,67.05882353,29.91,Sunny
25,74.28,29.91,Sunny
25,72.56521739,29.91,Sunny
23,78.45,29.91,Sunny
24,84.44444444,29.94,Sunny
25,78.33333333,29.94,Sunny
25,75.14285714,29.94,Sunny
26,66.47368421,29.94,Sunny
26,70.86956522,30,Sunny
26,76.24,30,Sunny
27,76,29.97,Sunny
28,68.13043478,29.94,Sunny
27,69.96,29.91,Sunny
28,91.64285714,29.88,Sunny
26,77.04166667,29.85,Sunny
26,82.77272727,29.88,Sunny
27,81.77777778,29.91,Sunny
27,77.55555556,29.88,Sunny
27,76,29.85,Sunny
26,78.625,29.91,Rainy
27,66.54545455,29.97,Sunny
27,78.18181818,29.97,Sunny
27,77.6,29.94,Rainy
26,77.63157895,29.91,Rainy
27,69.66666667,29.91,Sunny
27,63.75,29.91,Sunny
26,68.4,29.94,Rainy
26,68.375,30,Rainy
24,71.77777778,30,Rainy
26,64,30,Sunny
27,70.375,30,Sunny
29,67,29.97,Sunny
30,65.5,29.91,Sunny
31,67.71428571,29.88,Sunny
29,56.75,29.91,Sunny
29,64.4,29.94,Sunny
29,70.75,29.94,Sunny
28,66.09090909,29.94,Sunny
28,60.125,29.94,Sunny
28,69.41666667,30,Sunny
28,57.125,30,Sunny
28,42.875,29.97,Sunny
29,40.375,29.91,Sunny
29,50.42857143,29.85,Sunny
29,59,29.88,Rainy
29,58.375,29.88,Sunny
29,51.66666667,29.85,Sunny
29,47.92307692,29.85,Sunny
30,54.25,29.88,Sunny
30,42.5,29.85,Sunny
30,43.125,29.85,Sunny
30,41.25,29.83,Sunny
30,42.44444444,29.8,Sunny
29,41.5,29.83,Rainy
29,52.72727273,29.85,Rainy
30,69.07142857,29.88,Sunny
30,67.75,29.83,Sunny
31,60.4,29.85,Sunny
31,56.625,29.85,Sunny
31,49.33333333,29.88,Sunny
31,56.33333333,29.88,Sunny
31,54.75,29.85,Sunny
31,49.2,29.88,Sunny
31,59.7,29.88,Sunny
32,46.30769231,29.91,Sunny
32,52.27777778,29.88,Sunny
33,54.66666667,29.83,Sunny
32,49,29.85,Sunny
33,45,29.83,Sunny
32,49.75,29.85,Sunny
32,37.66666667,29.83,Sunny
32,39.375,29.8,Sunny
33,37.1,29.8,Sunny
33,38.625,29.83,Sunny
33,40.66666667,29.85,Sunny
34,34.5,29.83,Sunny
34,36.85714286,29.8,Sunny
34,37.625,29.83,Sunny
35,35.125,29.83,Sunny
34,33.75,29.8,Sunny
35,29.75,29.77,Sunny
34,31.86666667,29.8,Sunny
34,46,29.83,Sunny
34,26,29.85,Sunny
34,29.875,29.83,Sunny
35,29.375,29.77,Sunny
34,21.125,29.8,Rainy
34,19.42857143,29.8,Rainy
34,17.75,29.83,Rainy
34,26,29.85,Sunny
35,29.11111111,29.83,Sunny
35,37.625,29.8,Sunny
35,30.44444444,29.8,Sunny
34,34.25,29.83,Sunny
35,38.44444444,29.8,Sunny
35,27.33333333,29.77,Sunny
35,24.125,29.8,Sunny
34,27.5,29.77,Rainy
34,39.375,29.8,Sunny
34,40.9,29.8,Sunny
36,27.5,29.74,Sunny
35,27.14285714,29.74,Sunny
